State,County,FIPS,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
Georgia,Bibb,13021,2021,365,274,89,2,0,0,0,131,62,40,0,0,113,252,0
Georgia,Charlton,13049,2021,121,121,0,0,0,0,0,48,30,19,0,0,0,121,0
Georgia,Chatham,13051,2021,363,275,87,1,0,0,0,103,59,41,0,0,89,274,0
Georgia,Chattooga,13055,2021,245,238,7,0,0,0,0,80,45,33,0,0,245,0,0
Georgia,Clarke,13059,2021,365,262,102,1,0,0,0,107,61,41,0,0,120,245,0
Georgia,Clayton,13063,2021,121,97,24,0,0,0,0,71,57,33,0,0,0,121,0
Georgia,Cobb,13067,2021,285,251,34,0,0,0,0,80,52,39,0,0,212,73,0
Georgia,Coffee,13069,2021,116,110,6,0,0,0,0,65,43,26,0,0,0,116,0
Georgia,Columbia,13073,2021,245,239,6,0,0,0,0,67,46,33,0,0,245,0,0
Georgia,Dawson,13085,2021,245,230,15,0,0,0,0,87,47,36,0,0,245,0,0
Georgia,DeKalb,13089,2021,365,268,95,2,0,0,0,119,61,41,0,37,117,211,0
Georgia,Dougherty,13095,2021,352,263,85,4,0,0,0,133,65,39,0,0,0,352,0
Georgia,Douglas,13097,2021,244,215,27,2,0,0,0,101,58,38,0,0,244,0,0
Georgia,Floyd,13115,2021,354,295,57,2,0,0,0,141,57,29,0,0,0,354,0
Georgia,Fulton,13121,2021,365,224,137,4,0,0,0,150,67,44,0,11,94,260,0
Georgia,Glynn,13127,2021,322,298,24,0,0,0,0,77,48,34,0,0,213,109,0
Georgia,Gwinnett,13135,2021,324,230,92,2,0,0,0,108,63,42,0,0,129,195,0
Georgia,Hall,13139,2021,365,291,74,0,0,0,0,81,57,34,0,0,0,365,0
Georgia,Henry,13151,2021,360,296,63,1,0,0,0,112,58,35,0,0,176,184,0
Georgia,Houston,13153,2021,359,273,82,4,0,0,0,111,61,37,0,0,0,359,0
Georgia,Lowndes,13185,2021,358,293,65,0,0,0,0,84,55,35,0,0,0,358,0
Georgia,Murray,13213,2021,276,242,34,0,0,0,0,87,51,37,0,0,234,42,0
Georgia,Muscogee,13215,2021,353,284,67,1,1,0,0,154,58,36,0,0,147,206,0
Georgia,Pike,13231,2021,352,326,26,0,0,0,0,80,49,36,0,0,352,0,0
Georgia,Richmond,13245,2021,364,235,122,7,0,0,0,145,66,43,0,0,115,248,1
Georgia,Rockdale,13247,2021,243,216,27,0,0,0,0,93,54,39,0,0,243,0,0
Georgia,Sumter,13261,2021,245,228,17,0,0,0,0,74,49,35,0,0,245,0,0
Georgia,Walker,13295,2021,233,150,82,1,0,0,0,110,64,43,0,0,0,233,0
Georgia,Washington,13303,2021,365,263,99,3,0,0,0,111,65,38,0,0,0,365,0
