State,County,FIPS,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
Georgia,Bibb,13021,2017,365,284,81,0,0,0,0,93,58,40,0,0,163,202,0
Georgia,Charlton,13049,2017,113,109,4,0,0,0,0,89,42,21,0,0,0,113,0
Georgia,Chatham,13051,2017,363,299,64,0,0,0,0,77,55,37,0,0,108,255,0
Georgia,Chattooga,13055,2017,240,232,8,0,0,0,0,64,45,36,0,0,240,0,0
Georgia,Clarke,13059,2017,360,311,49,0,0,0,0,97,54,38,0,0,175,185,0
Georgia,Clayton,13063,2017,116,84,32,0,0,0,0,68,58,38,0,0,0,116,0
Georgia,Cobb,13067,2017,284,239,45,0,0,0,0,97,54,40,0,0,225,59,0
Georgia,Coffee,13069,2017,107,98,9,0,0,0,0,87,50,31,0,0,0,107,0
Georgia,Columbia,13073,2017,245,235,9,1,0,0,0,105,48,37,0,0,245,0,0
Georgia,Coweta,13077,2017,318,266,52,0,0,0,0,74,54,37,0,0,149,169,0
Georgia,Dawson,13085,2017,242,224,16,2,0,0,0,112,47,36,0,0,242,0,0
Georgia,DeKalb,13089,2017,365,250,114,1,0,0,0,143,62,44,0,48,134,183,0
Georgia,Dougherty,13095,2017,356,272,83,0,1,0,0,151,59,38,0,0,0,356,0
Georgia,Douglas,13097,2017,230,199,30,1,0,0,0,150,54,39,0,0,230,0,0
Georgia,Floyd,13115,2017,303,187,116,0,0,0,0,78,59,44,0,0,0,303,0
Georgia,Fulton,13121,2017,365,210,149,6,0,0,0,136,70,48,0,22,114,229,0
Georgia,Glynn,13127,2017,276,257,19,0,0,0,0,77,47,35,0,0,215,61,0
Georgia,Gwinnett,13135,2017,356,272,84,0,0,0,0,97,61,42,0,0,179,177,0
Georgia,Hall,13139,2017,254,205,49,0,0,0,0,68,56,36,0,0,0,254,0
Georgia,Henry,13151,2017,347,287,57,3,0,0,0,129,56,39,0,0,200,147,0
Georgia,Houston,13153,2017,330,265,65,0,0,0,0,92,56,35,0,0,0,330,0
Georgia,Lowndes,13185,2017,317,235,81,0,1,0,0,151,58,38,0,0,0,317,0
Georgia,Murray,13213,2017,257,229,28,0,0,0,0,90,51,39,0,0,204,53,0
Georgia,Muscogee,13215,2017,360,287,73,0,0,0,0,99,58,40,0,0,151,209,0
Georgia,Paulding,13223,2017,11,10,1,0,0,0,0,52,37,21,0,0,0,11,0
Georgia,Pike,13231,2017,357,329,27,1,0,0,0,119,49,39,0,0,357,0,0
Georgia,Richmond,13245,2017,364,275,88,0,0,0,1,364,59,42,0,0,155,204,5
Georgia,Rockdale,13247,2017,243,212,30,1,0,0,0,126,54,39,0,0,243,0,0
Georgia,Sumter,13261,2017,241,229,12,0,0,0,0,67,47,35,0,0,241,0,0
Georgia,Walker,13295,2017,308,233,75,0,0,0,0,83,58,38,0,0,0,308,0
Georgia,Washington,13303,2017,122,103,19,0,0,0,0,78,53,32,0,0,0,122,0
