State,County,FIPS,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
Georgia,Bibb,13021,2020,366,323,43,0,0,0,0,97,52,35,0,0,128,238,0
Georgia,Charlton,13049,2020,120,115,4,1,0,0,0,139,34,19,0,0,0,120,0
Georgia,Chatham,13051,2020,365,313,51,1,0,0,0,131,53,37,0,0,111,254,0
Georgia,Chattooga,13055,2020,245,244,1,0,0,0,0,58,43,32,0,0,245,0,0
Georgia,Clarke,13059,2020,366,312,54,0,0,0,0,99,54,36,0,0,131,235,0
Georgia,Clayton,13063,2020,121,103,18,0,0,0,0,90,54,28,0,0,0,121,0
Georgia,Cobb,13067,2020,285,263,22,0,0,0,0,90,49,35,0,0,214,71,0
Georgia,Coffee,13069,2020,120,115,4,1,0,0,0,108,42,25,0,0,0,120,0
Georgia,Columbia,13073,2020,241,239,2,0,0,0,0,51,44,31,0,0,241,0,0
Georgia,Dawson,13085,2020,245,239,6,0,0,0,0,74,43,31,0,0,245,0,0
Georgia,DeKalb,13089,2020,366,300,65,1,0,0,0,106,57,38,0,32,127,207,0
Georgia,Dougherty,13095,2020,365,276,87,2,0,0,0,114,61,37,0,0,0,365,0
Georgia,Douglas,13097,2020,245,238,7,0,0,0,0,77,44,32,0,0,245,0,0
Georgia,Floyd,13115,2020,326,283,43,0,0,0,0,80,53,31,0,0,0,326,0
Georgia,Fulton,13121,2020,366,257,107,2,0,0,0,125,62,43,0,24,82,260,0
Georgia,Glynn,13127,2020,285,273,12,0,0,0,0,96,44,31,0,0,218,67,0
Georgia,Gwinnett,13135,2020,364,301,62,1,0,0,0,101,55,37,0,0,145,219,0
Georgia,Hall,13139,2020,359,304,55,0,0,0,0,98,55,33,0,0,0,359,0
Georgia,Henry,13151,2020,366,332,34,0,0,0,0,95,50,32,0,0,166,200,0
Georgia,Houston,13153,2020,362,287,74,1,0,0,0,114,57,35,0,0,0,362,0
Georgia,Lowndes,13185,2020,202,177,24,1,0,0,0,141,54,30,0,0,0,202,0
Georgia,Murray,13213,2020,272,259,13,0,0,0,0,61,45,34,0,0,235,37,0
Georgia,Muscogee,13215,2020,366,317,48,1,0,0,0,101,53,35,0,0,146,220,0
Georgia,Pike,13231,2020,354,351,3,0,0,0,0,64,44,33,0,0,354,0,0
Georgia,Richmond,13245,2020,366,268,97,1,0,0,0,114,59,42,0,0,84,267,15
Georgia,Rockdale,13247,2020,244,232,12,0,0,0,0,77,46,34,0,0,244,0,0
Georgia,Sumter,13261,2020,240,237,3,0,0,0,0,64,44,32,0,0,240,0,0
Georgia,Walker,13295,2020,177,151,26,0,0,0,0,84,53,30,0,0,0,177,0
Georgia,Washington,13303,2020,353,297,54,2,0,0,0,112,54,32,0,0,0,353,0
