State,County,FIPS,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
Georgia,Bibb,13021,2019,362,275,84,3,0,0,0,137,61,39,0,0,158,204,0
Georgia,Charlton,13049,2019,103,100,3,0,0,0,0,61,36,20,0,0,0,103,0
Georgia,Chatham,13051,2019,335,277,58,0,0,0,0,87,55,38,0,0,159,176,0
Georgia,Chattooga,13055,2019,244,231,13,0,0,0,0,71,48,40,0,0,244,0,0
Georgia,Clarke,13059,2019,365,245,120,0,0,0,0,87,61,44,0,0,136,229,0
Georgia,Clayton,13063,2019,119,98,21,0,0,0,0,70,54,36,0,0,0,119,0
Georgia,Cobb,13067,2019,282,224,57,1,0,0,0,119,60,42,0,0,210,72,0
Georgia,Coffee,13069,2019,121,107,14,0,0,0,0,66,52,26,0,0,0,121,0
Georgia,Columbia,13073,2019,245,229,16,0,0,0,0,74,49,39,0,0,245,0,0
Georgia,Dawson,13085,2019,244,225,18,1,0,0,0,126,48,37,0,0,244,0,0
Georgia,DeKalb,13089,2019,365,251,110,3,1,0,0,159,64,44,0,34,156,175,0
Georgia,Dougherty,13095,2019,356,236,118,2,0,0,0,107,63,40,0,0,0,356,0
Georgia,Douglas,13097,2019,245,212,28,5,0,0,0,126,58,40,0,0,245,0,0
Georgia,Floyd,13115,2019,363,215,148,0,0,0,0,89,62,45,0,0,0,363,0
Georgia,Fulton,13121,2019,365,192,166,6,1,0,0,172,74,49,0,19,130,216,0
Georgia,Glynn,13127,2019,279,254,25,0,0,0,0,80,50,36,0,0,224,55,0
Georgia,Gwinnett,13135,2019,355,221,132,2,0,0,0,112,69,45,0,0,152,203,0
Georgia,Hall,13139,2019,340,259,81,0,0,0,0,88,57,37,0,0,0,340,0
Georgia,Henry,13151,2019,363,283,73,7,0,0,0,150,59,37,0,0,166,197,0
Georgia,Houston,13153,2019,354,246,106,1,1,0,0,152,61,38,0,0,0,354,0
Georgia,Lowndes,13185,2019,309,255,54,0,0,0,0,68,55,35,0,0,0,309,0
Georgia,Murray,13213,2019,269,230,39,0,0,0,0,93,54,42,0,0,239,30,0
Georgia,Muscogee,13215,2019,364,274,90,0,0,0,0,90,58,40,0,0,149,215,0
Georgia,Pike,13231,2019,353,307,43,3,0,0,0,147,58,37,0,0,353,0,0
Georgia,Richmond,13245,2019,364,238,124,2,0,0,0,101,63,45,0,0,132,214,18
Georgia,Rockdale,13247,2019,241,186,50,5,0,0,0,129,67,43,0,0,241,0,0
Georgia,Sumter,13261,2019,238,211,27,0,0,0,0,97,54,39,0,0,238,0,0
Georgia,Walker,13295,2019,356,269,87,0,0,0,0,82,57,37,0,0,0,356,0
Georgia,Washington,13303,2019,211,176,34,1,0,0,0,116,54,29,0,0,0,211,0
