State,County,FIPS,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
Georgia,Bibb,13021,2016,366,267,94,5,0,0,0,147,63,42,0,0,146,220,0
Georgia,Charlton,13049,2016,117,112,5,0,0,0,0,66,43,23,0,0,0,117,0
Georgia,Chatham,13051,2016,365,311,51,3,0,0,0,143,53,37,0,0,139,226,0
Georgia,Chattooga,13055,2016,242,217,25,0,0,0,0,93,51,42,0,0,242,0,0
Georgia,Clarke,13059,2016,362,295,61,4,2,0,0,162,61,40,0,0,191,171,0
Georgia,Clayton,13063,2016,121,98,22,1,0,0,0,145,54,34,0,0,0,121,0
Georgia,Cobb,13067,2016,351,244,103,3,1,0,0,200,64,44,0,0,177,174,0
Georgia,Coffee,13069,2016,43,40,3,0,0,0,0,54,47,31,0,0,0,43,0
Georgia,Columbia,13073,2016,243,217,26,0,0,0,0,93,51,40,0,0,243,0,0
Georgia,Coweta,13077,2016,366,303,62,0,1,0,0,154,57,39,0,0,178,188,0
Georgia,Dawson,13085,2016,244,216,26,2,0,0,0,126,51,42,0,0,244,0,0
Georgia,DeKalb,13089,2016,366,174,183,8,1,0,0,151,72,51,0,23,123,220,0
Georgia,Dougherty,13095,2016,363,263,100,0,0,0,0,93,59,36,0,0,0,363,0
Georgia,Douglas,13097,2016,245,196,42,6,1,0,0,151,67,43,0,0,245,0,0
Georgia,Floyd,13115,2016,326,254,72,0,0,0,0,87,57,37,0,0,0,326,0
Georgia,Fulton,13121,2016,366,202,151,12,1,0,0,156,71,48,0,24,103,239,0
Georgia,Glynn,13127,2016,343,314,27,2,0,0,0,129,49,35,0,0,182,161,0
Georgia,Gwinnett,13135,2016,365,284,72,9,0,0,0,147,64,42,0,0,202,163,0
Georgia,Hall,13139,2016,119,103,14,1,1,0,0,155,52,30,0,0,0,119,0
Georgia,Henry,13151,2016,365,290,66,8,1,0,0,159,64,40,0,0,200,165,0
Georgia,Houston,13153,2016,352,306,44,2,0,0,0,107,53,33,0,0,0,352,0
Georgia,Lowndes,13185,2016,327,276,51,0,0,0,0,74,54,33,0,0,0,327,0
Georgia,Murray,13213,2016,275,233,41,1,0,0,0,112,58,43,0,0,242,33,0
Georgia,Muscogee,13215,2016,360,281,74,5,0,0,0,148,58,40,0,0,175,185,0
Georgia,Paulding,13223,2016,364,240,122,2,0,0,0,126,62,44,0,0,124,240,0
Georgia,Pike,13231,2016,339,290,45,4,0,0,0,126,58,40,0,0,339,0,0
Georgia,Richmond,13245,2016,365,285,76,2,2,0,0,162,58,39,0,0,159,206,0
Georgia,Rockdale,13247,2016,240,179,52,9,0,0,0,140,80,44,0,0,240,0,0
Georgia,Sumter,13261,2016,245,218,26,1,0,0,0,101,54,39,0,0,245,0,0
Georgia,Walker,13295,2016,348,267,78,0,3,0,0,174,57,38,0,0,0,348,0
Georgia,Washington,13303,2016,119,108,10,1,0,0,0,105,50,29,0,0,0,119,0
Georgia,Wilkinson,13319,2016,117,98,17,1,1,0,0,151,56,33,0,0,0,117,0
