State,County,FIPS,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
Georgia,Bibb,13021,2022,365,295,70,0,0,0,0,90,55,38,0,0,121,244,0
Georgia,Charlton,13049,2022,122,120,2,0,0,0,0,73,33,19,0,0,0,122,0
Georgia,Chatham,13051,2022,335,273,62,0,0,0,0,97,57,39,0,0,138,197,0
Georgia,Chattooga,13055,2022,245,236,9,0,0,0,0,77,47,35,0,0,245,0,0
Georgia,Clarke,13059,2022,362,271,91,0,0,0,0,87,59,43,0,0,166,196,0
Georgia,Clayton,13063,2022,121,105,16,0,0,0,0,69,52,31,0,0,0,121,0
Georgia,Cobb,13067,2022,285,251,33,1,0,0,0,105,51,38,0,0,214,71,0
Georgia,Coffee,13069,2022,119,111,8,0,0,0,0,71,45,27,0,0,0,119,0
Georgia,Columbia,13073,2022,245,238,7,0,0,0,0,71,45,34,0,0,245,0,0
Georgia,Dawson,13085,2022,245,238,6,1,0,0,0,136,47,35,0,0,245,0,0
Georgia,DeKalb,13089,2022,365,264,99,2,0,0,0,147,61,42,1,34,114,216,0
Georgia,Dougherty,13095,2022,358,253,100,4,1,0,0,151,60,38,0,0,0,358,0
Georgia,Douglas,13097,2022,243,215,27,1,0,0,0,133,54,38,0,0,243,0,0
Georgia,Floyd,13115,2022,356,320,36,0,0,0,0,81,51,28,0,0,0,356,0
Georgia,Fulton,13121,2022,365,254,108,2,1,0,0,169,62,44,0,15,129,221,0
Georgia,Glynn,13127,2022,356,292,63,1,0,0,0,106,57,38,0,0,129,227,0
Georgia,Gwinnett,13135,2022,365,290,75,0,0,0,0,97,58,40,0,0,181,184,0
Georgia,Hall,13139,2022,364,295,69,0,0,0,0,76,55,35,0,0,0,364,0
Georgia,Henry,13151,2022,351,301,47,3,0,0,0,105,54,36,0,0,192,159,0
Georgia,Houston,13153,2022,362,293,68,1,0,0,0,102,56,34,0,0,0,362,0
Georgia,Lowndes,13185,2022,354,269,85,0,0,0,0,100,59,36,0,0,0,354,0
Georgia,Murray,13213,2022,279,251,27,1,0,0,0,105,51,38,0,0,240,39,0
Georgia,Muscogee,13215,2022,365,290,73,2,0,0,0,149,57,40,0,0,141,224,0
Georgia,Pike,13231,2022,340,311,29,0,0,0,0,100,48,35,0,0,340,0,0
Georgia,Richmond,13245,2022,365,277,88,0,0,0,0,99,58,40,0,0,134,231,0
Georgia,Rockdale,13247,2022,243,214,29,0,0,0,0,90,54,39,0,0,243,0,0
Georgia,Sumter,13261,2022,238,224,14,0,0,0,0,93,47,35,0,0,238,0,0
Georgia,Walker,13295,2022,352,226,126,0,0,0,0,87,64,43,0,0,0,352,0
Georgia,Washington,13303,2022,362,246,113,3,0,0,0,112,64,41,0,0,0,362,0
