FIPS,County,State,Energy Burden,Electricity Burden,Gas Burden
13253,Seminole County,Georgia,8.4,5.9,2.5
13255,Spalding County,Georgia,6,4.1,1.9
13257,Stephens County,Georgia,6.3,4.1,2.2
13259,Stewart County,Georgia,8,5.4,2.6
13261,Sumter County,Georgia,8.5,5.8,2.7
13263,Talbot County,Georgia,9.3,5.8,3.5
13265,Taliaferro County,Georgia,8.4,5.5,2.9
13267,Tattnall County,Georgia,6.9,4.6,2.3
13269,Taylor County,Georgia,9.8,6.2,3.6
13271,Telfair County,Georgia,7.7,5.1,2.6
13273,Terrell County,Georgia,8.9,6.1,2.8
13275,Thomas County,Georgia,6.7,5,1.7
13277,Tift County,Georgia,7.2,5,2.2
13279,Toombs County,Georgia,6.9,5.3,1.6
13281,Towns County,Georgia,5.7,3.9,1.8
13283,Treutlen County,Georgia,10.1,6.8,3.3
13285,Troup County,Georgia,6.9,5,1.9
13287,Turner County,Georgia,9,6.2,2.8
13289,Twiggs County,Georgia,7.7,5.1,2.6
13291,Union County,Georgia,6.1,3.9,2.2
13293,Upson County,Georgia,7.3,4.8,2.5
13295,Walker County,Georgia,6.4,4.4,2
13297,Walton County,Georgia,4.6,3.3,1.3
13299,Ware County,Georgia,7.6,5.5,2.1
13301,Warren County,Georgia,9,5.8,3.2
13303,Washington County,Georgia,9.2,6.1,3.1
13305,Wayne County,Georgia,6.8,5.1,1.7
13307,Webster County,Georgia,11.2,7.3,3.9
13309,Wheeler County,Georgia,11.9,7.9,4
13311,White County,Georgia,4.8,3.3,1.5
13313,Whitfield County,Georgia,5.9,4.2,1.7
13315,Wilcox County,Georgia,8.9,5.8,3.1
13317,Wilkes County,Georgia,8.1,5.5,2.6
13319,Wilkinson County,Georgia,9.6,6.5,3.1
13321,Worth County,Georgia,6.5,4.6,1.9
