FIPS,County,State,Energy Burden,Electricity Burden,Gas Burden
13001,Appling County,Georgia,7,7,0
13003,Atkinson County,Georgia,7,7,0
13005,Bacon County,Georgia,7,7,0
13007,Baker County,Georgia,9,8,1
13009,Baldwin County,Georgia,10,8,1
13011,Banks County,Georgia,8,7,1
13013,Barrow County,Georgia,5,4,1
13015,Bartow County,Georgia,5,4,1
13017,Ben Hill County,Georgia,15,15,0
13019,Berrien County,Georgia,8,8,0
13021,Bibb County,Georgia,9,8,1
13023,Bleckley County,Georgia,8,7,1
13025,Brantley County,Georgia,7,7,0
13027,Brooks County,Georgia,9,9,1
13029,Bryan County,Georgia,5,5,0
13031,Bulloch County,Georgia,7,6,0
13033,Burke County,Georgia,8,7,1
13035,Butts County,Georgia,7,6,1
13037,Calhoun County,Georgia,11,10,1
13039,Camden County,Georgia,6,6,0
13043,Candler County,Georgia,8,8,1
13045,Carroll County,Georgia,5,4,1
13047,Catoosa County,Georgia,5,5,0
13049,Charlton County,Georgia,9,8,0
13051,Chatham County,Georgia,6,5,0
13053,Chattahoochee County,Georgia,6,5,1
13055,Chattooga County,Georgia,9,7,2
13057,Cherokee County,Georgia,4,3,1
13059,Clarke County,Georgia,5,5,0
13061,Clay County,Georgia,8,7,1
13063,Clayton County,Georgia,5,4,1
13065,Clinch County,Georgia,12,12,0
13067,Cobb County,Georgia,4,3,1
13069,Coffee County,Georgia,7,7,0
13071,Colquitt County,Georgia,9,9,0
13073,Columbia County,Georgia,6,5,1
13075,Cook County,Georgia,33,32,0
13077,Coweta County,Georgia,4,4,1
13079,Crawford County,Georgia,9,7,2
13081,Crisp County,Georgia,8,7,1
13083,Dade County,Georgia,7,5,1
13085,Dawson County,Georgia,5,4,1
13087,Decatur County,Georgia,9,8,1
13089,DeKalb County,Georgia,4,4,1
13091,Dodge County,Georgia,8,7,1
13093,Dooly County,Georgia,10,9,1
13095,Dougherty County,Georgia,7,6,1
13097,Douglas County,Georgia,4,3,1
13099,Early County,Georgia,9,8,1
13101,Echols County,Georgia,10,9,1
13103,Effingham County,Georgia,6,5,0
13105,Elbert County,Georgia,11,9,2
13107,Emanuel County,Georgia,7,6,1
13109,Evans County,Georgia,8,8,0
13111,Fannin County,Georgia,8,5,2
13113,Fayette County,Georgia,4,3,1
13115,Floyd County,Georgia,7,6,1
13117,Forsyth County,Georgia,4,3,1
13119,Franklin County,Georgia,8,7,1
13121,Fulton County,Georgia,4,4,1
13123,Gilmer County,Georgia,8,6,2
13125,Glascock County,Georgia,9,7,2
13127,Glynn County,Georgia,6,6,0
13129,Gordon County,Georgia,7,6,1
13131,Grady County,Georgia,10,9,1
13133,Greene County,Georgia,8,6,1
13135,Gwinnett County,Georgia,4,3,1
13137,Habersham County,Georgia,7,6,1
13139,Hall County,Georgia,5,4,1
13141,Hancock County,Georgia,10,7,3
13143,Haralson County,Georgia,8,6,2
13145,Harris County,Georgia,9,8,2
13147,Hart County,Georgia,8,7,1
13149,Heard County,Georgia,6,5,1
13151,Henry County,Georgia,4,3,1
13153,Houston County,Georgia,6,5,0
13155,Irwin County,Georgia,8,7,0
13157,Jackson County,Georgia,5,5,0
13159,Jasper County,Georgia,6,5,1
13161,Jeff Davis County,Georgia,7,7,0
13163,Jefferson County,Georgia,9,8,1
13165,Jenkins County,Georgia,9,8,1
13167,Johnson County,Georgia,9,7,2
13169,Jones County,Georgia,9,8,1
13171,Lamar County,Georgia,11,9,1
13173,Lanier County,Georgia,11,10,0
13175,Laurens County,Georgia,8,7,1
13177,Lee County,Georgia,8,7,0
13179,Liberty County,Georgia,6,6,0
13181,Lincoln County,Georgia,8,7,1
13183,Long County,Georgia,7,7,0
13185,Lowndes County,Georgia,7,7,0
13187,Lumpkin County,Georgia,7,6,1
13189,McDuffie County,Georgia,7,6,1
13191,McIntosh County,Georgia,8,8,0
13193,Macon County,Georgia,11,9,2
13195,Madison County,Georgia,7,6,1
13197,Marion County,Georgia,8,7,1
13199,Meriwether County,Georgia,10,9,2
13201,Miller County,Georgia,7,6,0
13205,Mitchell County,Georgia,13,12,1
13207,Monroe County,Georgia,10,8,1
13209,Montgomery County,Georgia,7,7,1
13211,Morgan County,Georgia,6,5,1
13213,Murray County,Georgia,8,7,1
13215,Muscogee County,Georgia,8,6,2
13217,Newton County,Georgia,5,4,1
13219,Oconee County,Georgia,5,4,1
13221,Oglethorpe County,Georgia,7,6,1
13223,Paulding County,Georgia,4,3,1
13225,Peach County,Georgia,9,8,1
13227,Pickens County,Georgia,6,4,1
13229,Pierce County,Georgia,7,7,0
13231,Pike County,Georgia,6,4,1
13233,Polk County,Georgia,8,6,1
13235,Pulaski County,Georgia,10,9,1
13237,Putnam County,Georgia,8,7,1
13239,Quitman County,Georgia,11,8,3
13241,Rabun County,Georgia,8,6,2
13243,Randolph County,Georgia,10,8,2
13245,Richmond County,Georgia,7,6,1
13247,Rockdale County,Georgia,4,4,1
13249,Schley County,Georgia,14,11,3
13251,Screven County,Georgia,6,6,1
13253,Seminole County,Georgia,7,6,1
13255,Spalding County,Georgia,5,4,1
13257,Stephens County,Georgia,8,6,1
13259,Stewart County,Georgia,9,7,2
13261,Sumter County,Georgia,9,8,1
13263,Talbot County,Georgia,11,8,2
13265,Taliaferro County,Georgia,8,6,2
13267,Tattnall County,Georgia,8,7,0
13269,Taylor County,Georgia,10,8,2
13271,Telfair County,Georgia,9,8,1
13273,Terrell County,Georgia,10,9,1
13275,Thomas County,Georgia,7,6,0
13277,Tift County,Georgia,8,8,1
13279,Toombs County,Georgia,8,7,0
13281,Towns County,Georgia,8,5,2
13283,Treutlen County,Georgia,9,7,1
13285,Troup County,Georgia,8,7,1
13287,Turner County,Georgia,8,7,1
13289,Twiggs County,Georgia,10,8,2
13291,Union County,Georgia,7,5,2
13293,Upson County,Georgia,10,8,1
13295,Walker County,Georgia,7,6,1
13297,Walton County,Georgia,6,5,1
13299,Ware County,Georgia,8,8,0
13301,Warren County,Georgia,9,7,2
13303,Washington County,Georgia,22,20,2
13305,Wayne County,Georgia,7,7,0
13307,Webster County,Georgia,11,8,2
13309,Wheeler County,Georgia,8,8,0
13311,White County,Georgia,7,5,1
13313,Whitfield County,Georgia,6,6,0
13315,Wilcox County,Georgia,11,9,2
13317,Wilkes County,Georgia,23,21,2
13319,Wilkinson County,Georgia,10,8,1
13321,Worth County,Georgia,9,8,1
