State,FIPS,County Name, Solar , Wind , Hydroelectric , Natural Gas , Coal , Oil & Other FF , Other Generation, Traditional TDS , Storage , Smart Grid , Micro Grid , Coal , Petroleum , Natural Gas , Woody Biomass , Corn Ethanol , Other Fuels, ENERGY STAR & Efficient Lighting , Traditional HVAC , High Efficiency HVAC & Renewable H&C , Advanced Materials & Insulation , Other Energy Efficiency, Motor Vehicle
GA,13105,Elbert County,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192
GA,13107,Emanuel County,0,0,0,0,0,0,0,29,0,0,0,0,22,0,0,0,12,0,12,24,13,19,207
GA,13109,Evans County,0,0,0,0,0,0,0,33,0,0,0,0,0,0,11,0,0,0,0,16,0,10,33
GA,13111,Fannin County,0,0,0,0,0,0,0,96,0,0,26,0,0,0,0,0,0,0,0,20,0,11,162
GA,13113,Fayette County,0,0,0,0,0,0,15,269,56,16,190,0,39,0,0,0,20,109,157,328,115,197,774
GA,13115,Floyd County,31,0,0,0,292,0,0,163,11,0,33,0,35,0,17,0,19,34,42,84,29,47,1585
GA,13117,Forsyth County,48,0,15,0,0,0,24,671,57,11,144,0,112,36,0,0,55,186,265,537,223,281,1067
GA,13119,Franklin County,15,0,0,0,0,0,0,125,0,0,0,0,107,0,0,0,0,0,16,34,13,15,737
GA,13121,Fulton County,11,152,183,27,11,105,203,5253,405,71,1164,0,1000,142,11,79,646,1453,2550,4010,1557,2492,6190
GA,13123,Gilmer County,13,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,10,19,0,0,50
GA,13125,Glascock County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13127,Glynn County,40,0,0,0,0,48,0,124,0,0,26,0,16,0,12,0,12,37,53,120,46,64,1041
GA,13129,Gordon County,11,0,0,0,0,0,0,43,0,0,16,0,0,0,11,0,0,18,21,59,22,31,76
GA,13131,Grady County,0,0,0,0,0,0,0,114,0,0,0,0,0,0,30,0,0,0,0,44,0,0,143
GA,13133,Greene County,0,0,0,0,0,0,0,35,0,0,15,0,0,0,18,0,0,0,0,18,22,31,64
GA,13135,Gwinnett County,278,55,79,14,0,37,107,1578,234,47,677,0,345,35,15,31,327,762,1161,2236,854,1246,5135
GA,13137,Habersham County,11,0,0,0,0,0,0,183,18,0,60,0,0,0,0,0,0,0,11,24,15,17,84
GA,13139,Hall County,58,0,0,0,0,16,20,333,29,0,109,0,45,0,0,0,23,117,176,337,112,170,2412
GA,13141,Hancock County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13143,Haralson County,0,22,0,0,0,0,0,42,0,0,21,0,40,0,0,0,10,13,19,39,13,20,1088
GA,13145,Harris County,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,11,29,0,13,42
GA,13147,Hart County,0,0,0,34,0,0,0,116,0,0,11,0,0,0,0,0,0,0,13,29,12,17,754
GA,13149,Heard County,0,0,0,0,260,0,0,15,0,0,16,0,0,0,0,0,0,0,0,11,0,0,0
GA,13151,Henry County,19,0,0,0,0,0,0,794,0,0,27,0,22,0,0,0,14,52,77,170,64,88,836
GA,13153,Houston County,104,0,0,0,0,0,11,308,28,0,73,0,37,0,0,0,11,63,98,187,79,106,349
GA,13155,Irwin County,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
GA,13157,Jackson County,39,0,0,0,0,0,0,401,22,0,65,0,13,0,0,0,0,39,51,134,46,71,1141
GA,13159,Jasper County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
GA,13161,Jeff Davis County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,346
GA,13163,Jefferson County,666,0,0,0,0,0,0,115,0,0,0,0,0,0,22,0,0,0,0,20,0,0,45
GA,13165,Jenkins County,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13167,Johnson County,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
GA,13169,Jones County,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,11,13,42,14,18,31
GA,13171,Lamar County,0,0,0,0,0,0,0,61,0,0,0,0,70,0,0,0,0,0,0,0,0,0,68
GA,13173,Lanier County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13175,Laurens County,14,0,0,0,0,0,0,85,0,0,13,0,0,0,0,0,0,22,34,71,33,53,183
GA,13177,Lee County,95,0,0,0,0,0,0,15,0,0,11,0,0,0,0,0,0,12,17,41,17,21,101
GA,13179,Liberty County,0,0,0,0,0,0,0,148,0,0,11,0,0,0,0,0,0,10,17,31,12,17,127
GA,13181,Lincoln County,15,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,13,0,0,0
GA,13183,Long County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13185,Lowndes County,0,0,0,0,0,0,12,251,15,0,55,0,52,0,16,15,21,73,109,240,90,125,500
GA,13187,Lumpkin County,0,0,0,0,0,0,0,37,0,0,0,0,96,0,0,0,0,0,13,44,0,14,128
GA,13189,McDuffie County,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,13,18,40,15,21,167
GA,13191,McIntosh County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
GA,13193,Macon County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
GA,13195,Madison County,316,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,21,15,12,62
GA,13197,Marion County,14,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
GA,13199,Meriwether County,0,0,0,0,0,0,0,29,0,0,0,0,0,0,12,0,0,0,0,23,0,12,321
GA,13201,Miller County,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13205,Mitchell County,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,11,0,0,118
GA,13207,Monroe County,15,0,0,10,403,0,0,75,0,0,14,0,0,0,17,0,0,11,16,40,11,19,105
GA,13209,Montgomery County,243,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,77
GA,13211,Morgan County,98,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,11,15,30,10,16,155
GA,13213,Murray County,0,0,0,0,0,0,0,12,0,0,0,0,21,16,0,0,0,0,0,0,0,0,57
GA,13215,Muscogee County,65,0,0,0,0,0,12,361,18,0,56,0,38,0,0,0,24,102,136,319,112,175,885
GA,13217,Newton County,0,0,0,0,0,0,0,234,0,0,27,0,16,0,0,0,10,36,54,115,41,59,705
GA,13219,Oconee County,14,0,0,0,0,0,0,37,0,0,12,0,0,0,0,0,0,26,24,56,26,25,41
GA,13221,Oglethorpe County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,14
GA,13223,Paulding County,19,0,0,0,0,0,0,95,17,0,54,0,18,0,0,0,0,46,70,159,56,78,318
GA,13225,Peach County,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,15,30,10,16,2019
GA,13227,Pickens County,0,0,0,0,0,0,0,131,0,0,24,0,0,0,0,0,0,0,14,31,14,18,54
GA,13229,Pierce County,0,0,0,0,0,0,0,42,0,0,27,0,0,0,26,0,0,0,10,23,0,12,62
GA,13231,Pike County,24,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,11,26,0,11,36
GA,13233,Polk County,20,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,16,34,12,115,224
GA,13235,Pulaski County,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13237,Putnam County,0,0,0,10,27,0,0,12,0,0,0,0,0,0,0,0,0,0,0,24,11,15,86
GA,13239,Quitman County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13241,Rabun County,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,11,25,0,12,30
GA,13243,Randolph County,14,0,0,0,0,0,0,14,0,0,0,0,0,0,31,0,0,0,0,0,0,0,11
GA,13245,Richmond County,59,0,0,0,0,0,16,347,28,0,95,0,55,0,20,0,40,114,176,386,145,195,944
GA,13247,Rockdale County,36,0,0,0,0,0,11,453,93,31,323,0,27,0,0,0,20,89,121,266,71,137,412
GA,13249,Schley County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
GA,13251,Screven County,0,0,0,0,0,0,0,26,0,0,0,0,180,0,31,0,0,0,0,44,0,0,41
GA,13253,Seminole County,59,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
GA,13255,Spalding County,18,0,0,0,0,13,0,57,0,0,27,0,0,0,0,0,0,41,60,117,20,36,317
GA,13257,Stephens County,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,16,0,11,54,0,28,61
GA,13259,Stewart County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11
GA,13261,Sumter County,0,0,0,0,0,0,0,112,0,0,0,0,0,0,20,0,0,16,0,23,0,0,109
GA,13263,Talbot County,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
GA,13265,Taliaferro County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
GA,13267,Tattnall County,0,0,0,0,0,0,0,123,0,0,15,0,0,0,22,0,0,0,0,13,0,0,11
GA,13269,Taylor County,0,0,0,11,0,0,0,199,0,0,32,0,0,0,0,0,0,17,27,54,0,29,29
GA,13271,Telfair County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,42
GA,13273,Terrell County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
GA,13275,Thomas County,17,0,0,0,0,0,0,45,0,0,0,0,13,0,28,0,24,25,38,110,28,42,210
GA,13277,Tift County,19,0,0,0,0,0,0,134,0,0,16,0,0,0,0,11,20,25,39,78,15,41,284
GA,13279,Toombs County,0,0,0,0,0,0,0,145,18,0,72,0,0,0,19,0,0,19,24,53,12,28,89
GA,13281,Towns County,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
GA,13283,Treutlen County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
GA,13285,Troup County,21,0,0,0,0,0,0,148,16,0,14,0,41,0,0,0,0,75,110,216,83,119,6582
GA,13287,Turner County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13289,Twiggs County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
GA,13291,Union County,102,28,0,0,0,0,0,14,0,0,19,0,0,0,0,0,0,0,11,25,0,13,60
GA,13293,Upson County,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,11,23,0,14,94
GA,13295,Walker County,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,73,560
GA,13297,Walton County,0,0,0,0,0,0,11,474,128,44,432,0,19,0,0,0,11,60,103,206,86,101,1090
GA,13299,Ware County,0,0,0,0,0,0,0,57,0,0,0,0,0,0,18,0,0,14,19,43,16,22,190
GA,13301,Warren County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
GA,13303,Washington County,0,0,0,0,0,0,0,94,0,0,41,0,0,0,0,0,0,0,13,27,0,14,85
GA,13305,Wayne County,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,11,16,37,17,17,85
GA,13307,Webster County,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13309,Wheeler County,0,0,0,0,0,0,0,45,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
GA,13311,White County,92,0,0,0,0,0,0,48,15,0,60,0,0,0,0,0,0,0,13,29,13,16,285
GA,13313,Whitfield County,29,0,0,0,13,0,0,217,0,0,79,0,14,0,0,0,33,31,47,97,43,48,981
GA,13315,Wilcox County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13317,Wilkes County,0,0,0,0,0,0,0,37,0,0,0,0,0,0,13,0,0,0,0,11,0,0,40
GA,13319,Wilkinson County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,10,0,0,47
GA,13321,Worth County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,124
GA,13999,N/A,0,13,46,0,0,13,36,632,142,32,417,0,194,29,20,13,74,255,497,688,254,435,959
