State,FIPS,County Name, Solar , Wind , Hydroelectric , Low-Impact Hydroelectric , Natural Gas , Coal , Oil & Other FF , Other Generation, Traditional TDS , Storage , Smart Grid , Micro Grid , Other Grid Mod , Coal , Petroleum , Natural Gas , Woody Biomass , Corn Ethanol , Other Clean Fuels , Other Fuels, ENERGY STAR & Efficient Lighting , Traditional HVAC , High Efficiency HVAC & Renewable H&C , Advanced Materials & Insulation , Other Energy Efficiency, Motor Vehicles
GA,13095,Dougherty County,29,0,12,0,23,0,0,57,123,0,0,13,0,0,29,0,19,0,12,0,93,128,227,83,0,792
GA,13097,Douglas County,77,0,43,0,0,0,0,0,241,0,0,11,0,0,19,0,0,0,0,0,71,89,158,58,0,674
GA,13099,Early County,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
GA,13101,Echols County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GA,13103,Effingham County,11,0,0,0,13,0,0,0,130,0,0,0,0,0,0,0,17,0,0,0,13,17,33,11,0,188
GA,13105,Elbert County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
GA,13107,Emanuel County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,13,22,12,0,63
GA,13109,Evans County,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,12,20,0,0,18,0,14,25,0,45
GA,13111,Fannin County,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,11,18,0,0,144
GA,13113,Fayette County,0,0,11,0,20,0,0,15,483,0,0,35,21,0,35,0,0,0,10,0,129,202,298,100,0,618
GA,13115,Floyd County,25,0,13,0,16,33,0,0,272,0,0,0,0,0,62,0,18,0,0,0,28,46,75,26,0,1334
GA,13117,Forsyth County,46,12,21,0,40,0,0,23,416,0,0,29,18,0,107,47,0,0,25,20,210,287,478,202,14,900
GA,13119,Franklin County,13,0,0,0,0,0,0,24,0,0,0,0,0,0,93,0,0,0,0,0,11,17,30,11,0,604
GA,13121,Fulton County,817,624,305,85,500,103,153,542,4085,56,448,275,158,60,953,190,12,108,291,229,1554,2723,3477,1386,126,7885
GA,13123,Gilmer County,10,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,11,17,0,0,88
GA,13125,Glascock County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
GA,13127,Glynn County,33,0,0,0,0,0,0,0,134,0,0,0,0,0,19,0,12,0,0,0,43,57,107,42,0,613
GA,13129,Gordon County,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,11,0,0,0,21,23,51,24,0,128
GA,13131,Grady County,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,31,0,0,0,0,0,39,0,0,232
GA,13133,Greene County,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,19,0,0,0,0,0,16,20,0,95
GA,13135,Gwinnett County,346,59,121,37,210,0,22,363,1421,36,30,304,183,28,312,43,16,38,147,116,872,1239,1975,753,61,5808
GA,13137,Habersham County,0,0,0,0,14,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,12,21,13,0,224
GA,13139,Hall County,58,0,13,0,25,0,0,19,261,0,0,23,14,0,42,0,0,0,10,0,135,190,301,99,0,3632
GA,13141,Hancock County,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
GA,13143,Haralson County,0,0,0,0,0,0,0,0,62,0,0,0,0,0,35,0,0,0,0,0,14,20,34,12,0,1103
GA,13145,Harris County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26,0,0,391
GA,13147,Hart County,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,11,14,26,10,0,253
GA,13149,Heard County,0,0,0,0,36,45,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,106
GA,13151,Henry County,19,0,0,0,10,0,0,0,554,0,0,0,0,0,33,0,0,0,0,0,59,83,152,58,8332,1003
GA,13153,Houston County,85,0,12,0,22,0,0,10,248,0,0,13,0,0,33,0,0,0,0,0,72,116,167,61,0,442
GA,13155,Irwin County,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
GA,13157,Jackson County,32,0,0,0,0,0,0,0,145,284,0,11,0,0,12,0,0,0,0,0,45,55,120,41,0,1650
GA,13159,Jasper County,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,87
GA,13161,Jeff Davis County,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,258
GA,13163,Jefferson County,544,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,23,0,0,0,0,0,18,0,0,49
GA,13165,Jenkins County,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
GA,13167,Johnson County,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
