Year,Residential,Commercial,Industrial
2016,119.1,102.4,61.5
2017,123.7,105.8,63
2018,118.7,102.1,62.2
2019,122.4,104.8,62.8
2020,124.3,105.4,60.9
2021,129.1,110.3,67.1
2022,141.2,124.4,84.3
