Year,Residential,Commercial,Industrial
2016,84679922,69735412,62012926
2017,80223484,67641504,62185282
2018,87074832,68964017,63116585
2019,86364432,68599918,61808119
2020,84563613,63857129,58136001
2021,90504727,67419306,61656945
2022,88877781,68033070,61680455
